OBJECTID,country,project_id,project_name,group_id,group_name,project_status,species,grant_reference,hectares,phase,globalid
308,England,104000000014095,Langley Vale Phase 1,n/a,n/a,Validated,Broadleaved (>80%),"CS 467544, 323681",38.5993829,4,5fe1d8da-91a5-408b-a6c3-c7cbdfda78cc
309,Scotland,104000000013733,Druim Suardalain,103000000006547,Forest Carbon Group 4,Validated,Existing woodland,16FGS 06454,6.48792008,4,3de8582d-dcb4-45f7-954b-ee3d53f894f6
310,Scotland,104000000013739,Ledmore,103000000006547,Forest Carbon group 4,Validated,Existing woodland,16FGS 11477,1.73816001,4,26af5039-9c25-4af2-82e9-ab60c4866057
311,Wales,104000000014100,New House Farm PPP,n/a,n/a,Validated,Existing woodland,Glastir 7473764,3.0180869,4,7d988cbb-8260-4fca-9de8-6d71a52a19ff
312,Scotland,104000000013725,Strathmulzie,103000000006547,Forest Carbon Group 4,Validated,Broadleaved (>80%),16FGS 07294,107.673845,4,0589e70e-8ed1-409a-ab70-1574a6c0d1fa
313,Scotland,104000000013725,Strathmulzie,103000000006547,Forest Carbon Group 4,Validated,Open ground,16FGS 07294,6.75915457,4,59d4013d-4bd1-4526-bb12-93ad43f86a53
314,Scotland,104000000013725,Strathmulzie,103000000006547,Forest Carbon Group 4,Validated,Existing woodland,16FGS 07294,0.82373888,4,2ca83b7d-cfc4-4ce0-924e-561b914ca28e
315,England,103000000026378,Markham's Wood,n/a,n/a,Verified,Broadleaved (>80%),EWGS 30122,10.35786048,5,f57e50e6-a2cf-45cd-b92e-98cafe72d237
316,England,103000000004521,Maddies Wood,103000000000751,James Lonsdale Group (G0007),Validated,Open ground,"EWGS 30752, EWGS 30749",4.6913755,1,4cf3e47b-d127-4923-8536-956269ed61fc
317,England,103000000004521,Maddies Wood,103000000000751,James Lonsdale Group (G0007),Validated,Open ground,"EWGS 30752, EWGS 30749",0.97474729,1,7440b1d0-545d-42d3-8d3d-1ea88d021757
318,England,103000000004521,Maddies Wood,103000000000751,James Lonsdale Group (G0007),Validated,Broadleaved (>80%),"EWGS 30752, EWGS 30749",6.69508318,1,28937a55-2734-43a7-ae25-e55ebc40ccf6
319,England,103000000004521,Maddies Wood,103000000000751,James Lonsdale Group (G0007),Validated,Broadleaved (>80%),"EWGS 30752, EWGS 30749",3.57997183,1,1b411365-bcaa-46bd-a856-dff8380a3d54
320,England,"104000000026375
",MKL Wood,103000000017157,Lonsdale Group 20/21,Validated,Broadleaved (>80%),No Grant,2.83744414,5,3b2c4b4c-7b7e-4d9f-8a24-8cc5cd4946ae
321,England,103000000004521,Maddies Wood,103000000000751,James Lonsdale Group (G0007),Validated,Open ground,"EWGS 30752, EWGS 30749",1.38107418,5,73b6ed91-cdef-4d7d-bb6c-7c0ce4d65ff6
322,Scotland,103000000004608,Barclye,103000000000757,Scottish Forest Alliance,Validated,Natural regeneration,No Grant,76.31722569,6,b2ddec25-df81-412c-a623-bd427d0e2ea5
323,Scotland,103000000004608,Barclye,103000000000757,Scottish Forest Alliance,Validated,Open ground,No Grant,138.47009795,6,30787da0-5b68-4727-84cf-fc8a9177c53d
324,Scotland,103000000004608,Barclye,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,120.42459906,6,1ab36bb1-f96e-4162-8dfa-dcb5d1d878b6
325,Scotland,103000000004608,Barclye,103000000000757,Scottish Forest Alliance,Validated,Natural regeneration,No Grant,2.43258106,6,3f68100a-f163-459b-b101-612959d25e80
326,Scotland,103000000004608,Barclye,103000000000757,Scottish Forest Alliance,Validated,Existing woodland,No Grant,16.46634039,6,8e685735-dc49-4b8e-b44a-e7e02e11877b
327,Scotland,103000000004608,Barclye,103000000000757,Scottish Forest Alliance,Validated,Broadleaved (>80%),No Grant,14.00293228,6,60910b61-fc11-43ce-89d9-bb2b64bf2697
328,Scotland,103000000005354,"Forest of Mamlorn, Glenlochay Native Woodland",n/a,n/a,Verified,Open ground,RDC_RP/3644435/716/0009/3644435/S/001,71.68722443,6,b89976a3-9709-419e-bbde-d0c1c08472c6
329,Scotland,103000000005354,"Forest of Mamlorn, Glenlochay Native Woodland",n/a,n/a,Verified,Broadleaved (>80%),RDC_RP/3644435/716/0009/3644435/S/001,461.29710995,6,6674bf22-688b-4e0f-be53-b425db1f23f0
330,England,104000000026404,Tom's Wood,103000000017154,Lonsdale Group 19/20,Validated,Broadleaved (>80%),CS 965133,18.50869791,6,b1823f4b-11f8-483a-9510-1e35dbcff0e4
331,England,104000000026372,Jack's Wood,103000000017154,Lonsdale Group 19/20,Validated,Open ground,CS 872589,0.4855724,6,9377278e-c645-421a-920d-2617a92738ae
332,England,103000000004454,Warcop Training Area,n/a,n/a,Validated,Broadleaved (>80%),No Grant,119.74777526,6,a3bbb5a9-72de-443f-a07d-14e257d59134
333,England,104000000027562,Sarah's Wood,n/a,n/a,Validated,Broadleaved (>80%),EWCO 02 21_22,7.98294439,6,760a491c-5de5-4ac1-ad02-eeac32409255
334,England,104000000027562,Sarah's Wood,n/a,n/a,Validated,Open ground,EWCO 02 21_22,1.21744877,6,7e80b6f6-2475-418d-a3f0-a693b907a01f
335,Scotland,104000000026821,Suisgill,n/a,n/a,Validated,Conifer (>80%),19FGS36438,17.29278619,6,2bde8ed6-4199-4ad6-925e-61683b901d9e
336,Scotland,104000000026821,Suisgill,n/a,n/a,Validated,Broadleaved (>80%),19FGS36438,2.30758502,6,c3f60d32-bd78-4996-a5ad-f84c0bc7c065
337,Scotland,104000000026821,Suisgill,n/a,n/a,Validated,Open ground,19FGS36438,2.61189104,6,8b693b8a-6285-4020-9a50-ede0c70eb9bd
338,Scotland,104000000027285,Ell Rigg,103000000017212,Auchencheyne Farm New Woodland Group 1’,Under Development,Broadleaved (>80%),20FGS52864,2.87806458,6,b0cd55b6-977b-40b8-add7-bb1393a9acea
339,Scotland,104000000027285,Ell Rigg,103000000017212,Auchencheyne Farm New Woodland Group 1’,Under Development,Conifer (>80%),20FGS52864,30.81679341,6,9173e457-5896-4f64-976e-78b1c51d7233
340,Scotland,104000000027285,Ell Rigg,103000000017212,Auchencheyne Farm New Woodland Group 1’,Under Development,Open ground,20FGS52864,1.56481045,6,78567a33-cacd-407d-8e47-042fbc3f3fe6
341,Scotland,104000000027252,Auchencheyne Small Block,103000000017212,Auchencheyne Farm New Woodland Group 1,Under Development,Conifer (>80%),18FGS30578,26.7034336,6,4e69bd15-fd70-42ff-a82c-e7a269b30b91
342,Scotland,104000000027252,Auchencheyne Small Block,103000000017212,Auchencheyne Farm New Woodland Group 1,Under Development,Broadleaved (>80%),18FGS30578,1.63315947,6,79de35e1-7b4e-474a-88d0-0e771a978757
343,Scotland,104000000027252,Auchencheyne Small Block,103000000017212,Auchencheyne Farm New Woodland Group 1,Under Development,Open ground,18FGS30578,2.86416955,6,1b880f47-e7e0-44cf-a21b-f126ea8dd7f4
344,Scotland,104000000027284,Monybuie NWC,103000000017212,Auchencheyne Farm New Woodland Group 1’,Under Development,Conifer (>80%),19FGS40223,98.19301945,6,b7d86a0e-5a1b-4ce4-873f-af1ab292c27f
345,Scotland,104000000027284,Monybuie NWC,103000000017212,Auchencheyne Farm New Woodland Group 1’,Under Development,Broadleaved (>80%),19FGS40223,7.43351334,6,9ed14efc-4a16-445e-b3ac-322bddae75a3
346,Scotland,104000000027284,Monybuie NWC,103000000017212,Auchencheyne Farm New Woodland Group 1’,Under Development,Open ground,19FGS40223,36.33364531,6,2d6ec723-4f1c-478d-9753-765d1ec50554
347,England,104000000026598,Zetland Estate Cpt 43 Silver Hill,n/a,n/a,Validated,Conifer (>80%),WCF 01-18-19,31.99375109,6,88f587be-19f1-41a9-b4e7-21ae8ed6d99b
348,Scotland,104000000027228,Meikle Ley,103000000017211,2021 FLS Woodland Carbon Projects,Validated,Broadleaved (>80%),No Grant,18.24586458,6,e1344a06-7e4c-4269-87ae-5551231634b4
349,Scotland,104000000027228,Meikle Ley,103000000017211,2021 FLS Woodland Carbon Projects,Validated,Open ground,No Grant,2.76357674,6,28475120-0c1b-4d3b-83ee-8a13cce880b8
350,Scotland,104000000027228,Meikle Ley,103000000017211,2021 FLS Woodland Carbon Projects,Validated,Conifer (>80%),No Grant,2.23266856,6,f549afcc-bce3-4640-89d4-eb7eeba994c3
351,Scotland,104000000027228,Meikle Ley,103000000017211,2021 FLS Woodland Carbon Projects,Validated,Mixed predominantly conifer (50-80%),No Grant,5.63310886,6,61871cb4-4627-4825-a808-af0fb38b4de2
352,Scotland,104000000027027,Kinneston,n/a,n/a,Validated,Broadleaved (>80%),18FGS27661,5.02112511,6,8a5db48a-b48f-47d5-9d5b-2fd3475821f8
353,Scotland,104000000027027,Kinneston,n/a,n/a,Validated,Conifer (>80%),18FGS27661,2.15540997,6,44bcec92-4284-4c5e-a03c-cd2af4e173a5
354,Scotland,104000000027313,Broadford Native Woodland,n/a,n/a,Validated,Broadleaved (>80%),18FGS29238,18.08599948,6,99242490-3e01-42a7-8fc5-7dbbe59f418c
355,Scotland,104000000027313,Broadford Native Woodland,n/a,n/a,Validated,Open ground,18FGS29238,9.39061388,6,f795259b-db83-4542-bdf1-5d0d1a44c352
356,Scotland,104000000026806,Pyatshaw NWC 1,103000000017191,MSFLM Group 1,Validated,Broadleaved (>80%),19FGS40323,3.92207038,6,02e44efe-d611-4efb-be06-7816badf04fb
357,Scotland,104000000026806,Pyatshaw NWC 1,103000000017191,MSFLM Group 1,Validated,Open ground,19FGS40323,0.71771536,6,7828f84b-e148-46b0-92b4-c51ba7d92934
358,Scotland,104000000026807,Stockbridge NWC,103000000017191,MSFLM Group 1,Validated,Conifer (>80%),18FGS31238,5.95585443,6,f6830ab4-e228-400e-8952-a31583d5395f
